t,spread,adverse_selection,inventory,net
422,25.280893186047674,-2.7160590263515094,-2.7429541668599557,19.82187999283617
423,25.292471456019943,-2.7160590263515094,-2.7429541668599557,19.83345826280844
424,25.413008955586342,-2.717104182754351,-2.7429541668599557,19.952950605971996
425,25.560485331100665,-2.717104182754351,-2.7597669045080453,20.08361424383823
426,25.652500868274654,-2.717104182754351,-2.7597669045080453,20.17562978101222
427,25.696973512676415,-2.717104182754351,-2.7597669045080453,20.22010242541398
428,25.729142211063785,-2.717104182754351,-2.7813139058669307,20.230724122442467
429,25.765745734296615,-2.717104182754351,-2.7813139058669307,20.267327645675298
430,25.873528064434847,-2.717104182754351,-2.7896972091584304,20.36672667252203
431,26.008830420661862,-2.772195339148383,-2.7896972091584304,20.446937872355015
432,26.041060989890504,-2.772195339148383,-2.791096862667333,20.47776878807475
433,26.06328997482652,-2.772195339148383,-2.791096862667333,20.49999777301077
434,26.095097338004734,-2.772195339148383,-2.791096862667333,20.531805136188982
435,26.122702683902187,-2.772195339148383,-2.791096862667333,20.559410482086435
436,26.160876680975633,-2.772195339148383,-2.791096862667333,20.59758447915988
437,26.232133305981282,-2.772195339148383,-2.791096862667333,20.66884110416553
438,26.345504678197624,-2.8674278964998012,-2.8863294200187513,20.591747361679037
439,26.442932844220447,-2.8798311065366122,-2.8863294200187513,20.67677231766505
440,26.48372253265388,-2.894313114203004,-2.900811427685143,20.6885979907657
441,26.580749251740823,-2.894313114203004,-2.904721994487047,20.781714143050742
442,26.63906794144384,-2.894313114203004,-2.9129706766273897,20.83178415061342
443,26.658279839569687,-2.894313114203004,-2.9129706766273897,20.850996048739265
444,26.68010688856268,-2.894313114203004,-2.9147812102964235,20.871012564063225
445,26.72120717372899,-2.894313114203004,-2.931352294818588,20.89554176470737
446,26.73235373659094,-2.894313114203004,-2.934879404874827,20.903161217513084
447,26.809379667219595,-2.894313114203004,-2.948568097921148,20.966498455095415
448,26.83487761341239,-2.9105828806286764,-2.948568097921148,20.97572663486254
449,26.920576592658087,-2.9105828806286764,-2.948568097921148,21.061425614108234
450,26.997638706066482,-2.9105828806286764,-2.955354546942227,21.13170127849555
451,27.083385592643015,-2.9105828806286764,-2.970168897931014,21.2026338140833
452,27.121424987565458,-2.9105828806286764,-2.970168897931014,21.24067320900574
453,27.13935844489625,-2.9105828806286764,-2.975240594530133,21.253534969737416
454,27.177048480656005,-2.9177331744503414,-2.975240594530133,21.28407471167551
455,27.218687584186704,-2.9177331744503414,-2.975240594530133,21.325713815206207
456,27.298918513739984,-2.9177331744503414,-2.975240594530133,21.405944744759488
457,27.375391333868404,-2.9177331744503414,-2.983851144448879,21.47380701496916
458,27.408547362611895,-2.9177331744503414,-2.984148530781245,21.506665657380285
459,27.439408360793873,-2.9177331744503414,-2.984148530781245,21.537526655562264
460,27.462844491879032,-2.9177331744503414,-2.984463264398608,21.56064805303006
461,27.574030686292197,-2.92137525462259,-2.9881053445708567,21.66455008709873
462,27.613641496457685,-2.92137525462259,-2.9881053445708567,21.704160897264217
463,27.65438222855272,-2.92137525462259,-2.999233056505517,21.733773917424593
464,27.66571295653427,-2.92137525462259,-2.999233056505517,21.745104645406144
465,27.67700715417744,-2.92137525462259,-3.001219304253768,21.754412595301062
466,27.778550977346914,-2.92137525462259,-3.001219304253768,21.855956418470537
467,27.80292115252302,-2.92137525462259,-3.0031346058789983,21.87841129202141
468,27.84948175996785,-2.9301604668073766,-3.0031346058789983,21.916186687281456
469,27.866752112372122,-2.9301604668073766,-3.0031346058789983,21.933457039685727
470,27.915392885190755,-2.933608623197338,-3.00658276226896,21.975201499724438
471,27.976037645846063,-2.933608623197338,-3.00658276226896,22.035846260379746
472,27.99053530234158,-2.9361605874527066,-3.00658276226896,22.047791952619896
473,28.079647221713195,-2.9361605874527066,-3.010083826011755,22.133402808248714
474,28.100326323767195,-2.975833963001226,-3.010083826011755,22.114408534754197
475,28.231592929319532,-3.0033319951408894,-3.0375818581514182,22.190679076027205
476,28.27790796692922,-3.0033319951408894,-3.0375818581514182,22.236994113636893
477,28.333718631267544,-3.0033319951408894,-3.0375818581514182,22.292804777975217
478,28.3860389564932,-3.0033319951408894,-3.0506105980147566,22.33209636333753
479,28.490092218242033,-3.021225565576659,-3.0506105980147566,22.418256054650595
480,28.635045519106473,-3.021225565576659,-3.0506105980147566,22.563209355515035
481,28.75245264435205,-3.021225565576659,-3.0506105980147566,22.680616480760612
482,28.774813727782842,-3.021225565576659,-3.05907662610506,22.694511536101103
483,28.81678551181858,-3.021225565576659,-3.05907662610506,22.73648332013684
484,28.90290510514393,-3.059765229053211,-3.097616289581612,22.745523586509087
485,28.925822878420306,-3.064438597587298,-3.1022896581156987,22.75909462271729
486,28.978006232786562,-3.064438597587298,-3.1263263718178735,22.787241263381368
487,29.03296340599103,-3.064438597587298,-3.1435649552948353,22.824959853108872
488,29.099107004588802,-3.092856647846114,-3.1719830055536513,22.834267351189013
489,29.24185051593787,-3.092856647846114,-3.181364877931975,22.967628990159756
490,29.337869527869557,-3.092856647846114,-3.2007308940115027,23.044281986011917
491,29.383325583371807,-3.092856647846114,-3.2007308940115027,23.089738041514167
492,29.404296175744463,-3.092856647846114,-3.2007308940115027,23.110708633886823
493,29.451603304394105,-3.1196475194685105,-3.2007308940115027,23.13122489091407
494,29.54973593686578,-3.1969322569759573,-3.2007308940115027,23.152072785878296
495,29.64761470597031,-3.1969322569759573,-3.2054693304378725,23.245213118556457
496,29.74198268215986,-3.1969322569759573,-3.2054693304378725,23.33958109474601
497,29.82028896786467,-3.1969322569759573,-3.215538834456856,23.407817876431835
498,29.869685353220284,-3.1969322569759573,-3.217110894422342,23.455642201821963
499,29.914346777910165,-3.1969322569759573,-3.243751044707965,23.47366347622622
500,30.0030921563298,-3.1969322569759573,-3.2488353526024616,23.557324546751357
501,30.054113799089798,-3.1969322569759573,-3.2488353526024616,23.608346189511355
502,30.08117124724773,-3.1969322569759573,-3.2488353526024616,23.635403637669288
503,30.132703174908695,-3.1969322569759573,-3.2599724899374145,23.6757984279953
504,30.182077598510435,-3.223731967644633,-3.2867722006060904,23.671573430259688
505,30.246979533097832,-3.235565317220627,-3.298605550182084,23.7128086656951
506,30.287950927663868,-3.2559817053534594,-3.3190219383149167,23.712947283995472
507,30.328666562910847,-3.256642377666068,-3.3190219383149167,23.753002246929842
508,30.36710583129694,-3.2665660579177103,-3.328945618566559,23.77159415481265
509,30.43035293771012,-3.2665660579177103,-3.328945618566559,23.83484126122583
510,30.51874941010855,-3.2665660579177103,-3.328945618566559,23.923237733624262
511,30.57236647656649,-3.2665660579177103,-3.328945618566559,23.9768548000822
512,30.70500430321036,-3.2665660579177103,-3.328945618566559,24.10949262672607
513,30.723498879900117,-3.2665660579177103,-3.335006864400115,24.12192595758227
514,30.764842911562223,-3.282312630359919,-3.335006864400115,24.147523416802166
515,30.83340435654348,-3.282312630359919,-3.3638326352830195,24.18725909090052
516,30.90382685268243,-3.282312630359919,-3.3763931203558677,24.245121101966618
517,30.953919966780106,-3.282312630359919,-3.3763931203558677,24.295214216064295
518,30.98071143990635,-3.282312630359919,-3.385820571655279,24.312578237891127
519,31.06509643920572,-3.282312630359919,-3.386298683198597,24.39648512564718
520,31.088143635876396,-3.282312630359919,-3.4011928997199576,24.404638105796494
521,31.16337340185889,-3.282312630359919,-3.435472165306222,24.445588606192725
522,31.21805054403223,-3.282312630359919,-3.435472165306222,24.500265748366065
523,31.34299642531421,-3.2864642922948195,-3.4396238272411224,24.616908305778242
524,31.37785151362538,-3.2864642922948195,-3.452102751775787,24.639284469554745
